Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;ad-hoc;hpsetup;86:20:17:BC:8D:3E;;10;No;None;No;11.0;1000;2560;44;0;0;0;44;IEEE 802.11b;;Thu Sep 25 18:42:25 2008;Thu Sep 25 18:45:12 2008;0;-78;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
2;infrastructure;2WIRE325;00:1A:C4:B7:30:91;;1;No;WEP;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:42:28 2008;Thu Sep 25 18:42:28 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
3;infrastructure;2WIRE563;00:12:88:6D:D8:01;;6;No;WEP;No;22.0;2000;25600;18;0;0;0;18;IEEE 802.11b;;Thu Sep 25 18:42:42 2008;Thu Sep 25 18:43:15 2008;0;-65;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
4;infrastructure;0155 1360;00:0F:CC:06:DD:3C;;6;No;WEP;No;22.0;1000;25600;16;0;0;0;16;IEEE 802.11b;;Thu Sep 25 18:42:43 2008;Thu Sep 25 18:43:26 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
5;probe;<no ssid>;00:0D:F0:12:99:C5;;0;No;None;No;11.0;2000;0;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:43:08 2008;Thu Sep 25 18:43:08 2008;0;-81;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
6;infrastructure;Dockside;00:18:F8:5D:FE:EF;;9;No;WEP;No;54.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:09 2008;Thu Sep 25 18:43:09 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
7;infrastructure;2WIRE117;00:1D:5A:4F:20:A9;;10;No;WEP;No;18.0;2000;25600;16;0;0;0;16;IEEE 802.11b;;Thu Sep 25 18:43:10 2008;Thu Sep 25 18:43:25 2008;0;-69;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
8;infrastructure;2WIRE519;00:14:95:AD:B6:F9;;6;No;WEP;No;18.0;2000;25600;9;0;0;0;9;IEEE 802.11b;;Thu Sep 25 18:43:10 2008;Thu Sep 25 18:43:25 2008;0;-71;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
9;infrastructure;2WIRE381;00:1E:C7:09:DB:B9;;1;No;WEP;No;18.0;2000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:43:12 2008;Thu Sep 25 18:43:12 2008;0;-82;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
10;infrastructure;1-866-HomeRun;00:14:6C:47:DA:B8;;8;No;WEP,TKIP,WPA,PSK;No;54.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:19 2008;Thu Sep 25 18:43:19 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
11;infrastructure;2WIRE795;00:1D:5A:BA:5F:31;;3;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;9;0;0;0;9;IEEE 802.11b;;Thu Sep 25 18:43:21 2008;Thu Sep 25 18:43:34 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
12;infrastructure;2WIRE763;00:1E:C7:C9:C5:91;;5;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:22 2008;Thu Sep 25 18:43:22 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
13;infrastructure;2WIRE318;00:1E:C7:B6:42:A1;;1;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;4;0;0;0;4;IEEE 802.11b;;Thu Sep 25 18:43:23 2008;Thu Sep 25 18:43:28 2008;0;-74;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
14;infrastructure;2WIRE864;00:1E:C7:B6:34:09;;2;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:43:31 2008;Thu Sep 25 18:43:33 2008;0;-80;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
15;infrastructure;2WIRE661;00:1E:C7:B6:25:C1;;2;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:43:36 2008;Thu Sep 25 18:43:41 2008;0;-71;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
16;infrastructure;2WIRE547;00:1D:5A:43:41:49;;3;No;WEP;No;18.0;2000;25600;4;2;2;0;6;IEEE 802.11b;;Thu Sep 25 18:43:36 2008;Thu Sep 25 18:43:42 2008;0;-74;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;414;None;0.0.0.0;
17;infrastructure;THEKDOGG;00:1E:2A:52:DF:CA;;1;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;1;0;0;0;1;IEEE 802.11n 20MHz;;Thu Sep 25 18:43:38 2008;Thu Sep 25 18:43:38 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
18;infrastructure;2WIRE557;00:12:88:BC:D8:31;;11;No;WEP;No;18.0;2000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:43:38 2008;Thu Sep 25 18:43:38 2008;0;-80;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
19;infrastructure;linksys;00:18:F8:E9:48:9D;;6;No;None;No;54.0;1000;25600;9;0;0;0;9;IEEE 802.11b;;Thu Sep 25 18:43:39 2008;Thu Sep 25 18:43:43 2008;0;-68;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
20;infrastructure;2WIRE311;00:1D:5A:C5:42:41;;4;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:43:39 2008;Thu Sep 25 18:43:39 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
21;infrastructure;2WIRE596;00:1D:5A:78:92:41;;9;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:43:40 2008;Thu Sep 25 18:43:40 2008;0;-80;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
22;infrastructure;2WIRE055;00:1D:5A:CA:52:E1;;9;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:40 2008;Thu Sep 25 18:43:40 2008;0;-81;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
23;infrastructure;linksys;00:18:F8:6F:14:81;;6;No;None;No;54.0;1000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:43:41 2008;Thu Sep 25 18:43:41 2008;0;-80;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
24;infrastructure;GG;00:1C:DF:5D:B6:2B;;1;No;WEP,TKIP,WPA,PSK;No;18.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:41 2008;Thu Sep 25 18:43:41 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
25;infrastructure;2WIRE854;00:1A:C4:C7:54:71;;1;No;WEP;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:43 2008;Thu Sep 25 18:43:43 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
26;infrastructure;GSR;00:21:29:B0:D5:DA;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;10;0;0;0;10;IEEE 802.11b;;Thu Sep 25 18:43:43 2008;Thu Sep 25 18:43:49 2008;0;-68;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
27;infrastructure;2WIRE960;00:21:7C:81:86:29;;11;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:43:43 2008;Thu Sep 25 18:43:49 2008;0;-73;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
28;infrastructure;2WIRE327;00:21:7C:7E:A8:41;;9;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;6;0;0;0;6;IEEE 802.11b;;Thu Sep 25 18:43:44 2008;Thu Sep 25 18:43:55 2008;0;-73;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
29;infrastructure;Belkin_N_Wireless_C1FBAB;00:17:3F:C1:FB:AB;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;14;0;0;0;14;IEEE 802.11b;;Thu Sep 25 18:43:46 2008;Thu Sep 25 18:43:53 2008;0;-68;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
30;infrastructure;micahrainwater;00:1E:E5:F5:54:E1;;11;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;2;0;0;0;2;IEEE 802.11n 40MHz;;Thu Sep 25 18:43:46 2008;Thu Sep 25 18:43:46 2008;0;-77;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
31;infrastructure;tom;00:1B:2F:4F:4F:0E;;1;No;WEP;No;36.0;1000;25600;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:43:46 2008;Thu Sep 25 18:43:48 2008;0;-82;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
32;infrastructure;2WIRE845;00:1D:5A:04:F8:E1;;1;No;WEP;No;18.0;2000;25600;10;0;0;0;10;IEEE 802.11b;;Thu Sep 25 18:43:46 2008;Thu Sep 25 18:43:54 2008;0;-61;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
33;infrastructure;2WIRE711;00:22:A4:2B:36:01;;1;No;WEP;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:43:48 2008;Thu Sep 25 18:43:48 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
